uni_lemma,language
pig,Mandarin (Taiwanese)
tooth,Mandarin (Taiwanese)
candy,Mandarin (Taiwanese)
soup,Mandarin (Taiwanese)
balloon,Mandarin (Taiwanese)
cup,Mandarin (Taiwanese)
toothbrush,Mandarin (Taiwanese)
tv,Mandarin (Taiwanese)
money,Mandarin (Taiwanese)
slide (object),Mandarin (Taiwanese)
horse,Mandarin (Taiwanese)
cow,Mandarin (Taiwanese)
bunny,Mandarin (Taiwanese)
elephant,Mandarin (Taiwanese)
sheep,Mandarin (Taiwanese)
butterfly,Mandarin (Taiwanese)
bug,Mandarin (Taiwanese)
face,Mandarin (Taiwanese)
train,Mandarin (Taiwanese)
meat,Mandarin (Taiwanese)
grapes,Mandarin (Taiwanese)
strawberry,Mandarin (Taiwanese)
pudding,Mandarin (Taiwanese)
cake,Mandarin (Taiwanese)
kefir,Mandarin (Taiwanese)
doll,Mandarin (Taiwanese)
toy (object),Mandarin (Taiwanese)
bubbles,Mandarin (Taiwanese)
spoon,Mandarin (Taiwanese)
key,Mandarin (Taiwanese)
bowl,Mandarin (Taiwanese)
glasses,Mandarin (Taiwanese)
tree,Mandarin (Taiwanese)
monkey,Mandarin (Taiwanese)
tiger,Mandarin (Taiwanese)
belly button,Mandarin (Taiwanese)
truck,Mandarin (Taiwanese)
motorcycle,Mandarin (Taiwanese)
bicycle,Mandarin (Taiwanese)
melon,Mandarin (Taiwanese)
corn,Mandarin (Taiwanese)
blanket,Mandarin (Taiwanese)
straw,Mandarin (Taiwanese)
trash,Mandarin (Taiwanese)
tissue,Mandarin (Taiwanese)
table,Mandarin (Taiwanese)
bed,Mandarin (Taiwanese)
umbrella,Mandarin (Taiwanese)
moon,Mandarin (Taiwanese)
ant,Mandarin (Taiwanese)
penguin,Mandarin (Taiwanese)
turtle,Mandarin (Taiwanese)
frog,Mandarin (Taiwanese)
mosquito,Mandarin (Taiwanese)
mouse,Mandarin (Taiwanese)
penis,Mandarin (Taiwanese)
finger,Mandarin (Taiwanese)
boat,Mandarin (Taiwanese)
vegetable,Mandarin (Taiwanese)
chocolate,Mandarin (Taiwanese)
slipper,Mandarin (Taiwanese)
sticker,Mandarin (Taiwanese)
pillow,Mandarin (Taiwanese)
chopstick,Mandarin (Taiwanese)
towel,Mandarin (Taiwanese)
comb (object),Mandarin (Taiwanese)
paper,Mandarin (Taiwanese)
lamp,Mandarin (Taiwanese)
toilet,Mandarin (Taiwanese)
stairs,Mandarin (Taiwanese)
rock (object),Mandarin (Taiwanese)
sun,Mandarin (Taiwanese)
star,Mandarin (Taiwanese)
lion,Mandarin (Taiwanese)
giraffe,Mandarin (Taiwanese)
shrimp,Mandarin (Taiwanese)
eyebrow,Mandarin (Taiwanese)
bus,Mandarin (Taiwanese)
carrot,Mandarin (Taiwanese)
ice cream,Mandarin (Taiwanese)
juice,Mandarin (Taiwanese)
sugar,Mandarin (Taiwanese)
french fries,Mandarin (Taiwanese)
jacket,Mandarin (Taiwanese)
button,Mandarin (Taiwanese)
blocks,Mandarin (Taiwanese)
garbage,Mandarin (Taiwanese)
mirror,Mandarin (Taiwanese)
purse,Mandarin (Taiwanese)
refrigerator,Mandarin (Taiwanese)
scissors,Mandarin (Taiwanese)
fan,Mandarin (Taiwanese)
remote control,Mandarin (Taiwanese)
potty,Mandarin (Taiwanese)
computer,Mandarin (Taiwanese)
room,Mandarin (Taiwanese)
crab,Mandarin (Taiwanese)
tongue,Mandarin (Taiwanese)
neck,Mandarin (Taiwanese)
nail (body part),Mandarin (Taiwanese)
digger,Mandarin (Taiwanese)
guava,Mandarin (Taiwanese)
fruit,Mandarin (Taiwanese)
tomato,Mandarin (Taiwanese)
orange (food),Mandarin (Taiwanese)
tea,Mandarin (Taiwanese)
tangerine,Mandarin (Taiwanese)
vest,Mandarin (Taiwanese)
broom,Mandarin (Taiwanese)
clock,Mandarin (Taiwanese)
toothpaste,Mandarin (Taiwanese)
dryer,Mandarin (Taiwanese)
camera,Mandarin (Taiwanese)
photo,Mandarin (Taiwanese)
window,Mandarin (Taiwanese)
leaf,Mandarin (Taiwanese)
swing (object),Mandarin (Taiwanese)
bee,Mandarin (Taiwanese)
snake,Mandarin (Taiwanese)
ambulance,Mandarin (Taiwanese)
porridge,Mandarin (Taiwanese)
raisin,Mandarin (Taiwanese)
soy milk,Mandarin (Taiwanese)
drink (beverage),Mandarin (Taiwanese)
bun,Mandarin (Taiwanese)
lollipop,Mandarin (Taiwanese)
dumpling,Mandarin (Taiwanese)
jelly,Mandarin (Taiwanese)
shirt,Mandarin (Taiwanese)
bib,Mandarin (Taiwanese)
zipper,Mandarin (Taiwanese)
mitten,Mandarin (Taiwanese)
helmet,Mandarin (Taiwanese)
underpants,Mandarin (Taiwanese)
pencil,Mandarin (Taiwanese)
puzzle,Mandarin (Taiwanese)
soap,Mandarin (Taiwanese)
air conditioner,Mandarin (Taiwanese)
bag,Mandarin (Taiwanese)
cd,Mandarin (Taiwanese)
kitchen,Mandarin (Taiwanese)
traffic light,Mandarin (Taiwanese)
seesaw,Mandarin (Taiwanese)
zebra,Mandarin (Taiwanese)
cockroach,Mandarin (Taiwanese)
alligator,Mandarin (Taiwanese)
caterpillar,Mandarin (Taiwanese)
hippopotamus,Mandarin (Taiwanese)
snail,Mandarin (Taiwanese)
spider,Mandarin (Taiwanese)
stroller,Mandarin (Taiwanese)
taxi,Mandarin (Taiwanese)
toast,Mandarin (Taiwanese)
papaya,Mandarin (Taiwanese)
donut,Mandarin (Taiwanese)
peanut,Mandarin (Taiwanese)
hamburger,Mandarin (Taiwanese)
mask,Mandarin (Taiwanese)
crayon,Mandarin (Taiwanese)
plate,Mandarin (Taiwanese)
knife,Mandarin (Taiwanese)
living room,Mandarin (Taiwanese)
drawer,Mandarin (Taiwanese)
elevator,Mandarin (Taiwanese)
washing machine,Mandarin (Taiwanese)
floor,Mandarin (Taiwanese)
grass,Mandarin (Taiwanese)
wind,Mandarin (Taiwanese)
rooster,Mandarin (Taiwanese)
wolf,Mandarin (Taiwanese)
dolphin,Mandarin (Taiwanese)
clam,Mandarin (Taiwanese)
back (body part),Mandarin (Taiwanese)
firetruck,Mandarin (Taiwanese)
cherry,Mandarin (Taiwanese)
soda,Mandarin (Taiwanese)
sausage,Mandarin (Taiwanese)
coffee,Mandarin (Taiwanese)
chicken (food),Mandarin (Taiwanese)
dress (object),Mandarin (Taiwanese)
sandal,Mandarin (Taiwanese)
robot,Mandarin (Taiwanese)
drum (object),Mandarin (Taiwanese)
coin,Mandarin (Taiwanese)
fork,Mandarin (Taiwanese)
bottle,Mandarin (Taiwanese)
couch,Mandarin (Taiwanese)
bathroom,Mandarin (Taiwanese)
road,Mandarin (Taiwanese)
kite,Mandarin (Taiwanese)
sand,Mandarin (Taiwanese)
animal,Mandarin (Taiwanese)
toe,Mandarin (Taiwanese)
lip,Mandarin (Taiwanese)
chin,Mandarin (Taiwanese)
pizza,Mandarin (Taiwanese)
nugget,Mandarin (Taiwanese)
sandwich,Mandarin (Taiwanese)
coke,Mandarin (Taiwanese)
shorts,Mandarin (Taiwanese)
sneaker,Mandarin (Taiwanese)
present,Mandarin (Taiwanese)
pot,Mandarin (Taiwanese)
box,Mandarin (Taiwanese)
mop (object),Mandarin (Taiwanese)
bucket,Mandarin (Taiwanese)
mud,Mandarin (Taiwanese)
thunder,Mandarin (Taiwanese)
sky,Mandarin (Taiwanese)
deer,Mandarin (Taiwanese)
fly (animal),Mandarin (Taiwanese)
goose,Mandarin (Taiwanese)
squirrel,Mandarin (Taiwanese)
pigeon,Mandarin (Taiwanese)
hen,Mandarin (Taiwanese)
knee,Mandarin (Taiwanese)
shoulder,Mandarin (Taiwanese)
helicopter,Mandarin (Taiwanese)
crane,Mandarin (Taiwanese)
pear,Mandarin (Taiwanese)
popcorn,Mandarin (Taiwanese)
gum,Mandarin (Taiwanese)
soy sauce,Mandarin (Taiwanese)
popsicle,Mandarin (Taiwanese)
raincoat,Mandarin (Taiwanese)
beads,Mandarin (Taiwanese)
bat (object),Mandarin (Taiwanese)
radio,Mandarin (Taiwanese)
plug,Mandarin (Taiwanese)
basket,Mandarin (Taiwanese)
brush (object),Mandarin (Taiwanese)
bedroom,Mandarin (Taiwanese)
sink,Mandarin (Taiwanese)
cupboard,Mandarin (Taiwanese)
cloud,Mandarin (Taiwanese)
owl,Mandarin (Taiwanese)
shark,Mandarin (Taiwanese)
eagle,Mandarin (Taiwanese)
tricycle,Mandarin (Taiwanese)
snack,Mandarin (Taiwanese)
lemon,Mandarin (Taiwanese)
kiwi,Mandarin (Taiwanese)
ketchup,Mandarin (Taiwanese)
peas,Mandarin (Taiwanese)
jam,Mandarin (Taiwanese)
necklace,Mandarin (Taiwanese)
pajamas,Mandarin (Taiwanese)
play dough,Mandarin (Taiwanese)
glue (object),Mandarin (Taiwanese)
gun,Mandarin (Taiwanese)
goal,Spanish (Peruvian)
cat,Spanish (Peruvian)
balloon,Spanish (Peruvian)
ball,Spanish (Peruvian)
hand,Spanish (Peruvian)
nose,Spanish (Peruvian)
food,Spanish (Peruvian)
eye,Spanish (Peruvian)
light (object),Spanish (Peruvian)
foot,Spanish (Peruvian)
street,Spanish (Peruvian)
bed,Spanish (Peruvian)
diaper,Spanish (Peruvian)
cow,Spanish (Peruvian)
ear,Spanish (Peruvian)
butt,Spanish (Peruvian)
airplane,Spanish (Peruvian)
plantain,Spanish (Peruvian)
chicken (food),Spanish (Peruvian)
yogurt,Spanish (Peruvian)
sun,Spanish (Peruvian)
chicken (animal),Spanish (Peruvian)
tummy,Spanish (Peruvian)
finger,Spanish (Peruvian)
juice,Spanish (Peruvian)
tights,Spanish (Peruvian)
pants,Spanish (Peruvian)
park,Spanish (Peruvian)
telephone,Spanish (Peruvian)
bottle,Spanish (Peruvian)
tree,Spanish (Peruvian)
toothbrush,Spanish (Peruvian)
table,Spanish (Peruvian)
elephant,Spanish (Peruvian)
lion,Spanish (Peruvian)
face,Spanish (Peruvian)
chocolate,Spanish (Peruvian)
moon,Spanish (Peruvian)
trash,Spanish (Peruvian)
soap,Spanish (Peruvian)
spider,Spanish (Peruvian)
bunny,Spanish (Peruvian)
arm,Spanish (Peruvian)
tongue,Spanish (Peruvian)
belly button,Spanish (Peruvian)
drum (object),Spanish (Peruvian)
train,Spanish (Peruvian)
fruit,Spanish (Peruvian)
apple,Spanish (Peruvian)
shoe,Spanish (Peruvian)
star,Spanish (Peruvian)
drawer,Spanish (Peruvian)
door,Spanish (Peruvian)
pacifier,Spanish (European)
ball,Spanish (European)
cookie,Spanish (European)
foot,Spanish (European)
car,Spanish (European)
bottle,Spanish (European)
potato,Spanish (European)
shoe,Spanish (European)
light (object),Spanish (European)
cat,Spanish (European)
dog,Spanish (European)
hand,Spanish (European)
nose,Spanish (European)
eye,Spanish (European)
balloon,Spanish (European)
motorcycle,Spanish (European)
meat,Spanish (European)
yogurt,Spanish (European)
horse,Spanish (European)
duck,Spanish (European)
fish (animal),Spanish (European)
cow,Spanish (European)
butt,Spanish (European)
book,Spanish (European)
goal,Spanish (European)
airplane,Spanish (European)
train,Spanish (European)
milk,Spanish (European)
juice,Spanish (European)
sock,Spanish (European)
diaper,Spanish (European)
bed,Spanish (European)
spoon,Spanish (European)
chair,Spanish (European)
elephant,Spanish (European)
bird,Spanish (European)
face,Spanish (European)
finger,Spanish (European)
tooth,Spanish (European)
ear,Spanish (European)
teddybear,Spanish (European)
paper,Spanish (European)
bus,Spanish (European)
bicycle,Spanish (European)
truck,Spanish (European)
candy,Spanish (European)
chocolate,Spanish (European)
lollipop,Spanish (European)
chips,Spanish (European)
ham,Spanish (European)
hat,Spanish (European)
sneaker,Spanish (European)
crib,Spanish (European)
key,Spanish (European)
table,Spanish (European)
door,Spanish (European)
telephone,Spanish (European)
glass,Spanish (European)
bug,Spanish (European)
chicken (animal),Spanish (European)
lion,Spanish (European)
monkey,Spanish (European)
bear,Spanish (European)
arm,Spanish (European)
tongue,Spanish (European)
leg,Spanish (European)
gut,Spanish (European)
blocks,Spanish (European)
photo,Spanish (European)
toy (object),Spanish (European)
pen/pencil,Spanish (European)
doll,Spanish (European)
apple,Spanish (European)
plantain,Spanish (European)
cheese,Spanish (European)
soup,Spanish (European)
boots,Spanish (European)
glasses,Spanish (European)
pants,Spanish (European)
pajamas,Spanish (European)
trash,Spanish (European)
bathtub,Spanish (European)
bath,Spanish (European)
kitchen,Spanish (European)
neighborhood,Spanish (European)
soap,Spanish (European)
comb (object),Spanish (European)
plate,Spanish (European)
clock,Spanish (European)
floor,Spanish (European)
tv,Spanish (European)
fork,Spanish (European)
snail,Spanish (European)
pig,Spanish (European)
bunny,Spanish (European)
sheep,Spanish (European)
chick,Spanish (European)
frog,Spanish (European)
fingernail,Spanish (European)
box,Spanish (European)
music,Spanish (European)
stick,Spanish (European)
drum (object),Spanish (European)
boat,Spanish (European)
rice,Spanish (European)
sweets,Spanish (European)
food,Spanish (European)
egg,Spanish (European)
orange (food),Spanish (European)
pear,Spanish (European)
chicken (food),Spanish (European)
sausage,Spanish (European)
coat,Spanish (European)
bib,Spanish (European)
brush (object),Spanish (European)
stairs,Spanish (European)
ant,Spanish (European)
giraffe,Spanish (European)
wolf,Spanish (European)
butterfly,Spanish (European)
fly (animal),Spanish (European)
mouse,Spanish (European)
bull,Spanish (European)
turtle,Spanish (European)
tummy,Spanish (European)
belly button,Spanish (European)
pen,Spanish (European)
clown,Spanish (European)
painting,Spanish (European)
olive,Spanish (European)
sugar,Spanish (European)
cocoa,Spanish (European)
pasta,Spanish (European)
fish (food),Spanish (European)
tomato,Spanish (European)
button,Spanish (European)
scarf,Spanish (European)
shirt,Spanish (European)
glove,Spanish (European)
knife,Spanish (European)
sponge,Spanish (European)
room,Spanish (European)
syrup,Spanish (European)
couch,Spanish (European)
towel,Spanish (European)
crocodile,Spanish (European)
pigeon,Spanish (European)
tiger,Spanish (European)
neck,Spanish (European)
lip,Spanish (European)
wheel,Spanish (European)
trolley,Spanish (European)
tractor,Spanish (European)
tricycle,Spanish (European)
sandwich,Spanish (European)
croquette,Spanish (European)
strawberry,Spanish (European)
fruit,Spanish (European)
ice cream,Spanish (European)
cake,Spanish (European)
jacket,Spanish (European)
sweater,Spanish (European)
earring,Spanish (European)
clothes,Spanish (European)
pillow,Spanish (European)
faucet,Spanish (European)
washing machine,Spanish (European)
cell phone,Spanish (European)
battery,Spanish (European)
living room,Spanish (European)
cup,Spanish (European)
scissors,Spanish (European)
donkey,Spanish (European)
snake,Spanish (European)
knee,Spanish (European)
bracelet,Spanish (European)
bun,Spanish (European)
cereal,Spanish (European)
beans,Spanish (European)
grapes,Spanish (European)
swimsuit,Spanish (European)
cushion,Spanish (European)
shower,Spanish (European)
broom,Spanish (European)
sink,Spanish (European)
coin,Spanish (European)
refrigerator,Spanish (European)
radio,Spanish (European)
animal,Spanish (European)
spider,Spanish (European)
worm,Spanish (European)
parrot,Spanish (European)
ladybug,Spanish (European)
beard,Spanish (European)
mustache,Spanish (European)
eyebrow,Spanish (European)
card,Spanish (European)
guitar,Spanish (European)
puzzle,Spanish (European)
rake (object),Spanish (European)
ambulance,Spanish (European)
police car,Spanish (European)
crane,Spanish (European)
helicopter,Spanish (European)
steak,Spanish (European)
lemon,Spanish (European)
tangerine,Spanish (European)
melon,Spanish (European)
applesauce,Spanish (European)
carrot,Spanish (European)
dress (object),Spanish (European)
garage,Spanish (European)
hammer,Spanish (European)
corridor,Spanish (European)
terrace,Spanish (European)
video,Spanish (European)
bee,Spanish (European)
dinosaur,Spanish (European)
piano,Spanish (European)
racket,Spanish (European)
skate (object),Spanish (European)
smoothie,Spanish (European)
pie,Spanish (European)
belt,Spanish (European)
zipper,Spanish (European)
skirt,Spanish (European)
lighter,Spanish (European)
meat,Hebrew
pickle,Hebrew
neck,Hebrew
washing machine,Hebrew
bowl,Hebrew
roof,Hebrew
sidewalk,Hebrew
glue (object),Hebrew
beads,Hebrew
pencil,Hebrew
pancake,Hebrew
cracker,Hebrew
jam,Hebrew
sweater,Hebrew
napkin,Hebrew
camera,Hebrew
hammer,Hebrew
ambulance,Hebrew
pen,Hebrew
candy,Hebrew
beans,Hebrew
belt,Hebrew
curtain,Hebrew
play pen,Hebrew
tablecloth,Hebrew
purse,Hebrew
money,Hebrew
basket,Hebrew
sandbox,Hebrew
skirt,Hebrew
garage,Hebrew
hose,Hebrew
bug,Hebrew
nut,Hebrew
ham,Hebrew
jeans,Hebrew
scarf,Hebrew
porch,Hebrew
flower pot,Hebrew
helicopter,Hebrew
chalk,Hebrew
gum,Hebrew
raisin,Hebrew
zipper,Hebrew
bedroom,Hebrew
armchair,Hebrew
puppy,Hebrew
peacock,Hebrew
soda,Hebrew
sneaker,Hebrew
mop (object),Hebrew
street,Hebrew
wolf,Hebrew
squirrel,Hebrew
jeep,Hebrew
tights,Hebrew
nail (object),Hebrew
plant,Hebrew
radio,Hebrew
vacuum,Hebrew
deer,Hebrew
tray,Hebrew
butter,Hebrew
sprinkler,Hebrew
bread,French (French)
cat,French (French)
ball,French (French)
shoe,French (French)
water (beverage),French (French)
cake,French (French)
car,French (French)
dog,French (French)
sock,French (French)
hand,French (French)
nose,French (French)
foot,French (French)
bunny,French (French)
bird,French (French)
hat,French (French)
slipper,French (French)
diaper,French (French)
water (not beverage),French (French)
bottle,French (French)
owie,French (French)
head,French (French)
eye,French (French)
banana,French (French)
apple,French (French)
boat,French (French)
bicycle,French (French)
duck,French (French)
fish (animal),French (French)
cow,French (French)
book,French (French)
pants,French (French)
flower,French (French)
spoon,French (French)
mouth,French (French)
hair,French (French)
tooth,French (French)
ear,French (French)
chocolate,French (French)
bed,French (French)
jar,French (French)
airplane,French (French)
truck,French (French)
motorcycle,French (French)
stroller,French (French)
horse,French (French)
pig,French (French)
teddybear,French (French)
chicken (animal),French (French)
pajamas,French (French)
key,French (French)
knife,French (French)
fork,French (French)
glasses,French (French)
milk,French (French)
pasta,French (French)
yogurt,French (French)
chair,French (French)
door,French (French)
train,French (French)
elephant,French (French)
lion,French (French)
wolf,French (French)
sheep,French (French)
bear,French (French)
turtle,French (French)
pen/pencil,French (French)
boots,French (French)
coat,French (French)
moon,French (French)
rain,French (French)
sun,French (French)
slide (object),French (French)
plate,French (French)
toothbrush,French (French)
music,French (French)
trash,French (French)
telephone,French (French)
glass,French (French)
arm,French (French)
finger,French (French)
butt,French (French)
tummy,French (French)
jam,French (French)
cheese,French (French)
fish (food),French (French)
table,French (French)
tractor,French (French)
crocodile,French (French)
giraffe,French (French)
frog,French (French)
butterfly,French (French)
monkey,French (French)
present,French (French)
doll,French (French)
bib,French (French)
button,French (French)
underpants,French (French)
sweater,French (French)
stone,French (French)
wind,French (French)
vacuum,French (French)
broom,French (French)
light (object),French (French)
photo,French (French)
soap,French (French)
leg,French (French)
cheek,French (French)
penis,French (French)
butter,French (French)
candy,French (French)
carrot,French (French)
bedroom,French (French)
kitchen,French (French)
shower,French (French)
tv,French (French)
mouse,French (French)
toy (object),French (French)
glove,French (French)
tree,French (French)
star,French (French)
snow,French (French)
cloud,French (French)
pool,French (French)
bowl,French (French)
brush (object),French (French)
scissors,French (French)
tissue,French (French)
paper,French (French)
bucket,French (French)
towel,French (French)
knee,French (French)
tongue,French (French)
coffee,French (French)
strawberry,French (French)
egg,French (French)
chicken (food),French (French)
soup,French (French)
sugar,French (French)
meat,French (French)
bath,French (French)
couch,French (French)
stairs,French (French)
bus,French (French)
bee,French (French)
rooster,French (French)
ant,French (French)
owl,French (French)
tiger,French (French)
bubbles,French (French)
story,French (French)
game,French (French)
watering can,French (French)
swing (object),French (French)
sky,French (French)
grass,French (French)
garden,French (French)
shovel,French (French)
box,French (French)
pillow,French (French)
blanket,French (French)
medicine,French (French)
chin,French (French)
thumb,French (French)
french fries,French (French)
ice cream,French (French)
beans,French (French)
orange (food),French (French)
potato,French (French)
salt,French (French)
window,French (French)
oven,French (French)
bathroom,French (French)
firetruck,French (French)
helicopter,French (French)
donkey,French (French)
kitty,French (French)
clay,French (French)
scarf,French (French)
dress (object),French (French)
shorts,French (French)
t-shirt,French (French)
stick,French (French)
road,French (French)
pacifier,French (French)
face,French (French)
belly button,French (French)
peas,French (French)
toast,French (French)
armchair,French (French)
refrigerator,French (French)
garage,French (French)
puppy,French (French)
goat,French (French)
squirrel,French (French)
zebra,French (French)
puzzle,French (French)
shirt,French (French)
necklace,French (French)
snowman,French (French)
ladder,French (French)
sidewalk,French (French)
lamp,French (French)
hammer,French (French)
watch (object),French (French)
basket,French (French)
comb (object),French (French)
cup,French (French)
pancake,French (French)
green beans,French (French)
juice,French (French)
muffin,French (French)
pizza,French (French)
lollipop,French (French)
washing machine,French (French)
living room,French (French)
penguin,French (French)
glue (object),French (French)
blocks,French (French)
sneaker,French (French)
overalls,French (French)
syrup,French (French)
remote control,French (French)
lip,French (French)
chips,French (French)
kiwi,French (French)
grapes,French (French)
sink,French (French)
drawer,French (French)
potty,French (French)
